Frase;Class
Estive na noite de ontem, no ato de filiação do Deputado Federal Eduardo Braide, ao partido PODEMOS. Na oportunidade, debatemos projetos de melhorias para a cidade de São Luís, em especial os bairros Sol e Mar, Divineia, Vila Luizão, Brisa do Mar, Santa Rosa, A. Costa P. Araçagy;1
O PARTIDO PODEMOS ROUBAR, JÁ COMEÇAM TRABALHAR PRAS ELEIÇOES DE 2020.EITAAA PODEMOS.#AlcolumbreMaquiavelico;-1
O lider do podemos19  no SenadoFederal, Alvaro Dias, participa do encontro do Podemos na tarde deste sábado (30/11);0
Em seguida, o prof_samarques deu boas vindas ao deputado EduardoBraide que se filiou ao partido Podemos neste final de semana e parabenizou o Sindicato dos Policiais Civis do Maranhão que realizou uma eleição sindical democrática.;0
O vereador Marcial Lima destacou a realização da filiação do Partido Podemos e parabenizou a realização das eleições da nova diretoria do Sindicato dos Policiais Civis do Maranhão.;0
No passado sábado - 30 de Nov. Na Cidade da Beira, realizamos uma reunião Nacional de Secretários do Partido PODEMOS com vista a alinhar estratégia de trabalho 2020 e formamos formadores sobre matéria de doutrina partidária. Objectivo: levar aos distritos nossa linha política;0
Surge através do Partido "Podemos" (podemosbahia), uma grande oportunidade do Esporte fazer parte do plano de governo de Salvador, com o retorno da Secretaria de Esportes, sendo gerada por gestores esportivos, com Políticas Públicas bem definidas. deputadobacelar;1
Na tribuna, o vereador Francisco Chaguinhas destaca o encontro realizado na última sexta-feira (29), para filiação de novos membros no Partido Podemos e chama a atenção para a falta de humanização por parte dos políticos no país;0
Um agente da SMTT contou-me (sim, eles sabem de muitas coisas e são fuxiqueiros) que Osmar Filho ex pré-candidato laranja do "maragatuno" para a prefeitura de SLZ, vai tentar o 4 mandato para vereador rainhadoma e querer se igualar à Pereirinha no poder MaranhaoTrue ...pode?;-1
Falar em candidatos à prefeitura, e Braide, que é uma excelente mudança na política de São Luís? A política da mudança e honestidade com seus eleitores é tão grande, que ele foi para o grupo de Zé Reinaldo e seu partido Podemos. Que Deus nos livre desse mal.;-1
Braide não é alternativa e nem será a cara da "nova política" e surgi forte para tentar a vaga infelizmente;-1
É só mais do mesmo. Nessa eleição, vou com o rubenspereirajr até de olhos fechados.;-1
Marco Feliciano foi expulso do partido Podemos, após uma série de acusações envolvendo inclusive assédio sexual no gabinete.Volto a dizer: Não fui a primeira vítima do Feliciano e muito menos a única, apenas a primeira a denunciá-lo.;-1
Esse Feliciano só entendeu mal o nome do partido podemos , ele achou que era phodemos.;-1
Moro, + popular, no partido Podemos para presidente em 2022? Segundo turno com Lula! Globo faz aposta, mas vai perder de novo!;0
Quanto mais defensor da igreja,  família, moral,  honestidade mais corrupto e sem valores, este é o Feliciano, este senhor foi expulso do seu partido podemos excesso de honestidade,  de fé,  amor a família e Deus;-1
Sem contar o lixo do Brasil 247 noticiando Moro contra Bolsonaro em 2022 através do partido podemos.;0
Partido Podemos expulsa pastor Marco Feliciano. Gastou 157 mil reais de dinheiro público com tratamento de dente. Pastor ladrão.;-1
Essa é a verdadeira face do partido PODEMOS. Não se iluda com Álvaro Dias. Esqueceu que ele sem quaisquer pudor disse na campanha que #Bolsonaro2022 estava morto? Velha política em ação.;-1
Feliciano é um dos deputados mais próximos do presidente JairBolsonaro e já fez parte da comitiva presidencial em viagens internacionais mais de uma vez.;-1
O partido PODEMOS  com a nova aquisição de Sérgio Moro vai mudar o nome pra FEDEMOS;-1
Marco Feliciano foi acusado por Patrícia Lelis de tentar estuprala, agora ele foi expulso do Partido Podemos acusado de assédio sexual, me parece que ele é realmente um predador sexual.Cadeia nesse falso profeta!;-1
+ segundo alguns lixos q circulam por aí... estupro de mulher bonita pode, as feias q não merecem! Por isso estamos vendo casos de estupro aumentando nesse país. Onde o certo é cuspir em cara de mulher, espancar, matar.;-1
Cadeia nele! Bandido! Castração química já !!!;-1
Esse aí e outro verme, instalado na política brasileira,o povo brasileiro tem que exterminar todos políticos inescrupuloso, ladrão pedófilos, estuprador que está usando o cargo políticos para si camuflar,e usar o foro previlegiado para. Si proteger.;-1
Todo puritano no fundo é um depravado!!!;-1
Pena que não vá preso como as pessoas comuns...;-1
Disseram que a Patrícia Lelis era maluca.;-1
É uma caça-dotes Deu pra tudo q é político.Lembro q ela sabia de detalhes da casa do Feliciano, e tbm n duvido q pegou o eduardo Bolsonaro Depois se nada der certo, tenta a extorsão;1
Não é sintomático que o termo #DireitosHumanos esteja entre os "assuntos do momento" no Twitter em outros idiomas como menos em português do Brasil?;0
Esse Feliciano e seus 'parsas' Eduardo Cunha, Silas Malafaia, Jair Bolsonaro, Edir Macedo, Valdemiro são verdadeiras aberrações humanas.;-1
